id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration,rating,studios,ova_ranking,broadcast_day_of_the_week,broadcast_start_time,start_season_year,start_season_season,statistics_watching,statistics_completed,statistics_on_hold,statistics_dropped,statistics_plan_to_watch,statistics_num_list_users,positive_viewership_fraction,negative_viewership_fraction
20221,Minami-ke Natsuyasumi,2013-08-06,2013-08-06,"Second Minami-ke OVA bundled with the 11th volume of the manga.

Chiaki, Kana, and Haruka decide how to spend their last few days of summer together.  Kana struggles to finish her homework.",7.37,2464,5149,19158,9026,white,ova,finished_airing,"[{'id': 52, 'name': 'CGDCT'}, {'id': 4, 'name': 'Comedy'}, {'id': 42, 'name': 'Seinen'}]",1,manga,1680,pg_13,"[{'id': 91, 'name': 'feel.'}]",241,,NIL,2013.0,summer,482,13186,237,159,5092,19156.0,0.9793,0.0207
389,Karas,2005-03-25,2007-08-03,"The world of the humans and the world of the demons (youkai) have overlapped one another, leaving humans to walk the streets of life as they normally would, while demons walk, hidden from the naked eye, down the very same streets. A seemingly young woman named Yurine and her servant, the Karas (from the Japanese word for ""Crow""), have long maintained order and balance between the overlapped worlds, ultimately keeping the demons from interrupting the lives of humans. However, humans have come to forget and jest at the existence of demons, and no longer understand the privilege it is to live without fear. Disgusted by this arrogance, an old Karas turns his back on the laws he had once upheld, and in his human form, named Eko, he creates an army of Mikura, or mechanized demons, to ready an attack on the human race.

A young man named Otoha inherits the powers of the Karas and takes his place at the side of Yurine, who claims that his soul called out for her while he lived the life of a human. They live in the world of the demons. It is now up to Otoha to prove himself as a Karas, and restore the balance that Eko threatens to upset.

Meanwhile, a superstitious police officer named Sagisaka and his rational new recruit, Kure, follow the trail of the murders dealt by Eko's Mikura, as well as the trail of a rogue Mikura named Nue. The prophecy unfolds from here into a grave revelation for all in the city.

(Source: Wikipedia)",7.36,2473,2843,65401,28615,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}]",6,original,1800,r,"[{'id': 103, 'name': 'Tatsunoko Production'}]",242,,NIL,2005.0,winter,2495,34743,2425,2247,23486,65396.0,0.9286,0.0714
32574,Kekkai Sensen: Ousama no Restaurant no Ousama,2016-06-03,2016-06-03,"For a rare occasion, the members of Libra have come out of the shadows to dine with an important guest: a royal next in line for the crown of his country. To show their visitor the finest that Hellsalem's Lot has to offer, the group decides to dine at Molzzogazza, the cream of the crop as far as restaurants go in the city.

As the success of this dinner may prove to be beneficial to Libra, Steven A. Starphase mounts the pressure on the team to be on its best behavior and avoid screw-ups. However, Steven has made one oversight. Molzzogazza, famous for its cuisine's indescribable and transcendent flavors, serves food so good that most people lose their minds eating it. Though the ragtag team may do their best to be cordial, the food is sure to unwind their composure, threatening the success of the dinner and leaving them unaware of an oncoming threat to the restaurant.

[Written by MAL Rewrite]",7.36,2474,3529,43725,20153,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}, {'id': 82, 'name': 'Urban Fantasy'}]",1,manga,1450,r,"[{'id': 4, 'name': 'Bones'}]",243,,NIL,2016.0,spring,897,30850,478,241,11255,43721.0,0.9836,0.0164
2458,Kimagure Orange☆Road OVA,1989-03-01,1991-01-18,"Shiroi Koibito-tachi
Kyousuke Kasuga and his friends are staying at his grandparent's house over winter break on a skiing trip. Everyone is excited until they hear about a curse that spells doom for couples who go down the mountain together. With a net of relationships and crushes on the line, the group's plans are suddenly upended.

Hawaiian Suspense
Kyousuke and Madoka Ayukawa's trip to Hawaii takes an abrupt turn for the worse when Hikaru Hiyama gets kidnapped! Kyousuke has to find a way to rescue her without revealing his paranormal powers to Madoka.

Wagahai wa Neko de Attari Osakana de Attari
While studying for exams, Kyousuke wishes that he could switch places with his pet cat or fish so he could have an easier life. But when his grandfather arrives with a magic rope that can be used to swap bodies, Kyousuke finds out he might have gotten himself in too deep.

Hurricane! Henshin Shoujo Akane
When Kyousuke's cousin, Akane, comes to visit, she stirs up antics with her ability to cast illusions. Things get even crazier when Akane falls for Madoka and becomes Kyousuke's rival in love.

Koi no Stage=Heart on Fire!
As Kyousuke helps to prepare for a local music festival, a popular idol crashes into him and they switch bodies! Now, Kyousuke must get his body back and prevent his secret from getting out before the show begins.

Omoi Gakenai Situation
Kyousuke has a foreboding dream where Akane attempts to seduce him. Disgusted after having inappropriate thoughts about his cousin, Kyousuke is shocked when she actually asks him to pose as her boyfriend in front of her friends.

Rouge no Dengon
Madoka's father is in Japan for a performance, and she is excited for the rare opportunity to see him. When she sees her father with a strange woman, however, her emotions are thrown into disarray.

[Written by MAL Rewrite]
",7.36,2476,6955,9030,4085,white,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",8,manga,1560,r,"[{'id': 1, 'name': 'Pierrot'}]",244,,NIL,1989.0,winter,358,5543,221,179,2726,9027.0,0.9557,0.0443
10209,Kore wa Zombie desu ka? OVA,2011-06-10,2012-04-24,Two OVAs released with the 8th and 10th volumes of the original novel. They fall chronologically between the first and second seasons.,7.36,2477,1759,135002,74361,gray,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 9, 'name': 'Ecchi'}, {'id': 10, 'name': 'Fantasy'}, {'id': 35, 'name': 'Harem'}, {'id': 82, 'name': 'Urban Fantasy'}, {'id': 32, 'name': 'Vampire'}]",2,light_novel,1495,pg_13,"[{'id': 37, 'name': 'Studio Deen'}]",245,,NIL,2011.0,spring,4006,109138,2066,1034,18739,134983.0,0.977,0.023
13837,Meitantei Conan Bonus File: Fantasista no Hana,2012-04-14,2012-04-14,"""Fantasista Flower"" is a side-story OVA related to The Eleventh Striker. 

(Source: Detective Conan World) ",7.36,2480,6701,9913,4146,white,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 39, 'name': 'Detective'}, {'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",1,manga,1500,g,"[{'id': 73, 'name': 'TMS Entertainment'}]",246,,NIL,2012.0,spring,179,7045,138,190,2358,9910.0,0.9669,0.0331
10075,Naruto x UT,2011-01-01,2011-01-01,"All-new animation offered throughout UNIQLO clothing stores in Japan on January 1, 2011. The DVD contains an exclusive version of Mayonaka Orchestra, by the Japanese rock band Aqua Timez. A limited number of the DVDs was offered as presents to people who bought UNIQLO's Naruto graphic T-shirts online or in their stores.

(Source: ANN, edited)",7.36,2482,3142,53971,26100,white,ova,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",1,manga,363,pg_13,"[{'id': 1, 'name': 'Pierrot'}]",247,,NIL,2011.0,winter,934,42224,480,488,9841,53967.0,0.9821,0.0179
24227,Nisekoi OVA,2014-10-03,2015-04-03,"1. Funshitsu / Miko-san
2. Oshigoto / Henbou
3. Sentou / Service",7.36,2483,1467,169201,93499,white,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 35, 'name': 'Harem'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",3,manga,1560,pg_13,"[{'id': 44, 'name': 'Shaft'}]",248,,NIL,2014.0,fall,9999,130223,3267,1633,24067,169189.0,0.971,0.029
32485,Prison School: Mad Wax,2016-03-04,2016-03-04,"Hachimitsu Private Academy's five male students have been released from their oppressive prison captors, allowing them to return to their ideal school lives surrounded by short-skirted girls.

With their freedom restored, things could not be going better for the gang. Kiyoshi Fujino and Shingo Wakamoto have formed close bonds with their female classmates; Reiji Andou is the center of attention due to his masochistic quirks; and even Takehito ""Gakuto"" Morokuzu—notorious for defecating himself during class—befriends the klutzy yet like-minded Mitsuko Yokoyama. 

However, in contrast to his fellow ex-convicts, Jouji ""Joe"" Nezu struggles to readjust to student life, and the unlikely romantic success of his friend Gakuto pushes him to his wit's end. Feeling ostracized, he begins to wonder if life was better behind bars.

[Written by MAL Rewrite]
",7.36,2486,1529,161533,95726,white,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 9, 'name': 'Ecchi'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}]",1,manga,1533,r+,"[{'id': 7, 'name': 'J.C.Staff'}]",249,,NIL,2016.0,winter,2526,136636,836,574,20950,161522.0,0.9913,0.0087
42519,Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,2020-04-03,2020-04-03,"Bundled with the limited edition volume 16.

The episode features an original premise where Fumino, Mafuyu, Uruka, Rizu, and Asumi are taking part in a wedding ceremony.

(Source: MAL News)",7.36,2502,3481,44598,22123,white,ova,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 35, 'name': 'Harem'}, {'id': 22, 'name': 'Romance'}, {'id': 27, 'name': 'Shounen'}]",1,manga,1420,pg_13,"[{'id': 1873, 'name': 'Silver'}, {'id': 1874, 'name': 'Arvo Animation'}]",250,,NIL,2020.0,spring,1293,32565,428,191,10114,44591.0,0.9861,0.0139
