id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,source,average_episode_duration,rating,background,studios,statistics,special_ranking
20159,Pokemon: The Origin,"{'medium': 'https://cdn.myanimelist.net/images/anime/7/53701.webp', 'large': 'https://cdn.myanimelist.net/images/anime/7/53701l.webp'}",2013-10-02,2013-10-02,"Pokémon are marvelous creatures that come in a variety of types and sizes, with abilities, powers, and personalities as diverse as they are numerous. Doctor Yukinari Ookido has dedicated his life to studying these fascinating beings, that can be caught, trained, traded, and battled against each other. There's only so much he can do from his lab though. With this in mind, Ookido entrusts two young boys with a Pokémon of their own and a computerized encyclopedia to catalog them. One of them, Green, is brash, passionate, slightly arrogant, and Doctor Ookido's own nephew. The other boy, Red, is equally passionate, and filled with a wide-eyed, mildly naive sense of wonder.

Pokémon: The Origin follows Red in his journey through the region of Kanto in his attempt to complete his ""Pokédex"" by capturing and cataloging all the Pokémon that exist. Along the way he'll discover there's more to himself and his goals than he originally thought. Red will have to put both himself and his Pokémon to the test in special Gyms whose leaders are steps along the way to the Pokémon League, in order to challenge the Elite Four and become a Pokémon League Champion.

Aside from his goals to become a Champion, Red has other problems brewing. There are others who capture and train Pokémon for more sinister reasons, with the infamous criminal organization Team Rocket being one of them. If Red can defeat them, fellow trainers, his rival Green, and wild Pokémon all through Kanto, he just may fulfill his own dream, and Doctor Ookido's as well.",7.73,1217,1074,237518,159916,white,2013-08-17T01:22:19+00:00,2024-02-04T16:43:22+00:00,tv_special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 15, 'name': 'Kids'}]",4,"{'year': 2013, 'season': 'fall'}",game,1299,pg,,"[{'id': 10, 'name': 'Production I.G'}, {'id': 27, 'name': 'Xebec'}, {'id': 28, 'name': 'OLM'}]","{'status': {'watching': '3937', 'completed': '215147', 'on_hold': '1709', 'dropped': '1328', 'plan_to_watch': '15393'}, 'num_list_users': 237514}",73
51533,Tonikaku Kawaii: Seifuku,"{'medium': 'https://cdn.myanimelist.net/images/anime/1085/126580.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1085/126580l.jpg'}",2022-11-22,2022-11-22,Special episode of Tonikaku Kawaii released Fall 2022.,7.72,1230,2184,100350,45158,white,2022-04-03T09:16:30+00:00,2024-06-26T22:53:17+00:00,special,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 22, 'name': 'Romance'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2022, 'season': 'fall'}",manga,1343,pg_13,,"[{'id': 35, 'name': 'Seven Arcs'}]","{'status': {'watching': '2995', 'completed': '65353', 'on_hold': '544', 'dropped': '308', 'plan_to_watch': '31138'}, 'num_list_users': 100338}",74
6984,Hidamari Sketch x 365 Specials,"{'medium': 'https://cdn.myanimelist.net/images/anime/13/17727.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/17727l.jpg'}",2009-03-25,2009-10-25,Special episodes of Hidamari Sketch x 365.,7.72,1240,5233,18428,9459,white,2009-08-14T13:34:52+00:00,2024-11-11T10:12:07+00:00,special,finished_airing,"[{'id': 52, 'name': 'CGDCT'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 23, 'name': 'School'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 80, 'name': 'Visual Arts'}]",3,"{'year': 2009, 'season': 'winter'}",4_koma_manga,1460,pg_13,,"[{'id': 44, 'name': 'Shaft'}]","{'status': {'watching': '309', 'completed': '13565', 'on_hold': '234', 'dropped': '213', 'plan_to_watch': '4105'}, 'num_list_users': 18426}",75
2724,Daicon Opening Animations,"{'medium': 'https://cdn.myanimelist.net/images/anime/12/3673.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/12/3673l.jpg'}",1981-08-22,1983-08-20,"Daicon III Opening Animation
An unnamed girl watches as the Science Patrol lands their aircraft. A masked individual exits the ship and approaches the girl, entrusting her with a cup of water and a simple task: to water a radish. The girl enthusiastically accepts her mission but is obstructed by a multitude of foes. Faced with waves of unrelenting monsters, mechas, and starfighters, can the young heroine protect the cup of water and make it to the radish unharmed? 

Daicon IV Opening Animation
Clad in a Playboy Bunny suit, an older version of the same girl takes on new and notable adversaries from around the galaxy. From dueling with lightsabers to surfing the magical sword Stormbringer, there is no shortage of action!

Set to Electric Light Orchestra's ""Twilight,"" the Daicon IV Opening Animation is a grand tribute to science fiction culture, showcasing hundreds of familiar characters in one spectacular bout. 

[Written by MAL Rewrite]",7.71,1247,4874,21893,12187,white,2007-06-26T02:16:14+00:00,2022-04-17T17:43:00+00:00,special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 18, 'name': 'Mecha'}, {'id': 19, 'name': 'Music'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 24, 'name': 'Sci-Fi'}]",2,"{'year': 1981, 'season': 'summer'}",other,320,pg,"The Daicon III and Daicon IV Opening Animations were produced with the intent of being showcased at the twentieth and twenty-second Nihon SF Taikai science fiction conventions—specifically the 1981 and 1983 Osaka conventions, nicknamed Daicon III and Daicon IV.

Daicon III Opening Animation
The 1981 Daicon III Opening Animation was solely animated by the three-person studio Daicon Film—consisting of university students Hideaki Anno, Hiroyuki Yamaga, and Takami Akai. While others were involved in the short's production, there were only three members credited. 

Daicon IV Opening Animation
The animation's unauthorized use of the Electric Light Orchestra song ""Twilight"" prevented it from receiving an official release; however, unofficial laserdiscs were produced to pay off the debt of the production. 

The production of the 1983 Daicon IV Opening Animation was said to be rigorous, and its completion was on the day of its premier. Nevertheless, the short's reception was overwhelmingly positive and spawned it a favorable legacy. A 2001 edition of the Animage magazine ranks both shorts at number 35 in its Top 100 anime productions ranking. 

The twelve individuals involved with the production of Daicon IV would go on to found the studio Gainax, responsible for the acclaimed anime series Neon Genesis Evangelion. Brief moments of Daicon IV can be seen in Gainax's anime Otaku no Video, which is based around the formation of the studio.","[{'id': 6, 'name': 'Gainax'}]","{'status': {'watching': '345', 'completed': '17149', 'on_hold': '152', 'dropped': '184', 'plan_to_watch': '4058'}, 'num_list_users': 21888}",76
2994,Death Note: Rewrite,"{'medium': 'https://cdn.myanimelist.net/images/anime/13/8518.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/8518l.jpg'}",2007-08-31,2008-08-22,"When approached by a fellow death god tempted to visit the human realm, Ryuk recounts his own journey to the other side and the story of Light Yagami—a brilliant young man who impressed him there. 

One day at school, Light stumbles upon Ryuk's lost Death Note and realizes it is not an ordinary notebook. He learns that it has the ability to kill every person whose name is written inside, provided that the user can visualize the victim's face. Having long deplored the decadence of current society, Light believes this sinister weapon offers him an unexpected opportunity: to eradicate all evil and bring about a new ideal world.

Following a string of fatal heart attacks, the authorities start to suspect that the alarming number of dead criminals is not coincidental. Determined to uncover the mysterious culprit, they join forces with L, an internationally renowned detective. As the death count escalates, Light and L clash in a breathtaking confrontation of wits and deception—a duel that will decide the future of humanity.

[Written by MAL Rewrite]",7.71,1248,1201,212957,95345,white,2007-08-15T23:38:17+00:00,2024-10-24T03:07:01+00:00,tv_special,finished_airing,"[{'id': 40, 'name': 'Psychological'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",2,"{'year': 2007, 'season': 'summer'}",manga,6720,r,"Death Note: Rewrite is a recut version of the Death Note anime series, comprising two movies. The first film, titled Death Note: Rewrite Genshi Suru Kami or Death Note: Relight Visions of a God, condenses the events of the series' first half. The second film, titled Death Note: Rewrite 2 L o Tsugu Mono or Death Note: Relight 2 L's Successors, does the same for the series' latter half. 

In addition to being shorter, the story's setting and timeline have also changed. Some new scenes and dialogue were introduced—especially in the second film—and the first film is now presented as a reminiscence of the death god Ryuk. 

Death Note: Rewrite Genshi Suru Kami was released on DVD on March 19, 2008 in Japan and on June 23, 2009 in the US. Death Note: Rewrite 2 L o Tsugu Mono followed on November 21, 2008 in Japan and on October 27, 2009 in the US. 
","[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '5908', 'completed': '142494', 'on_hold': '3694', 'dropped': '2874', 'plan_to_watch': '57978'}, 'num_list_users': 212948}",77
1719,Rozen Maiden: Ouvertüre,"{'medium': 'https://cdn.myanimelist.net/images/anime/1/1719.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1/1719l.jpg'}",2006-12-23,2006-12-24,"As Jun Sakurada fights and lives alongside the Rozen Maidens, special lifelike dolls made to battle each other, he enjoys a rare break in which he is told a story during the events of Rozen Maiden: Träumend. 

When Jun buys a brooch as a present for Shinku, the fifth doll, she refuses to accept it at any cost. Souseiseki, the fourth doll, then recounts the story of how Shinku and the first doll, Suigintou, first met. This tale tells of the cruel and heartbreaking circumstances surrounding Suigintou's birth, and how the many misunderstandings between her and Shinku shaped their longstanding rivalry fueled by Suigintou's unfettered hate towards Shinku.

The stage is set in Rozen Maiden: Ouvertüre in 19th century London as the story delves into the past of these one-time friends and the secrets that they hold.

[Written by MAL Rewrite]",7.71,1257,2920,62107,35065,white,2006-12-03T22:10:29+00:00,2023-12-29T02:46:44+00:00,tv_special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 42, 'name': 'Seinen'}]",2,"{'year': 2006, 'season': 'fall'}",manga,1440,pg_13,,"[{'id': 70, 'name': 'Nomad'}]","{'status': {'watching': '894', 'completed': '50600', 'on_hold': '592', 'dropped': '446', 'plan_to_watch': '9572'}, 'num_list_users': 62104}",78
27633,Gekkan Shoujo Nozaki-kun Specials,"{'medium': 'https://cdn.myanimelist.net/images/anime/9/66871.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/66871l.jpg'}",2014-09-24,2015-02-25,Specials bundled with the Blu-ray/DVDs.,7.7,1277,1699,140916,75389,white,2014-09-18T14:32:22+00:00,2022-04-17T05:08:26+00:00,special,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}]",6,"{'year': 2014, 'season': 'summer'}",4_koma_manga,180,pg_13,,"[{'id': 95, 'name': 'Doga Kobo'}]","{'status': {'watching': '4231', 'completed': '111859', 'on_hold': '2084', 'dropped': '1100', 'plan_to_watch': '21633'}, 'num_list_users': 140907}",79
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","{'medium': 'https://cdn.myanimelist.net/images/anime/5/88486.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/5/88486l.jpg'}",2017-09-20,2017-09-20,"Wanting to take her affection for Kobayashi a step further, dragon maid Tooru is confident in her latest creation: a love potion! With Valentine's Day just around the corner, Tooru decides there is no better way to use the potion than in homemade chocolates. However, on the special holiday, Tooru's plan is quickly foiled after Kobayashi sees through her heartfelt yet deceptive gift. 

Despite the unsuccessful attempt, many opportunities still await. Between the lively atmosphere and a trip to the hot springs, Kobayashi and the dragons indulge themselves in the sweet festivities.

[Written by MAL Rewrite]",7.7,1281,1154,222840,130415,white,2017-04-06T00:11:50+00:00,2024-11-12T03:57:47+00:00,special,finished_airing,"[{'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,"{'year': 2017, 'season': 'summer'}",manga,1419,pg_13,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai is an unaired episode included with the seventh Blu-ray/DVD volume of Kobayashi-san Chi no Maid Dragon.","[{'id': 2, 'name': 'Kyoto Animation'}]","{'status': {'watching': '3788', 'completed': '187198', 'on_hold': '1109', 'dropped': '688', 'plan_to_watch': '30043'}, 'num_list_users': 222826}",80
22673,Kuroko no Basket 2nd Season NG-shuu,"{'medium': 'https://cdn.myanimelist.net/images/anime/13/59027.webp', 'large': 'https://cdn.myanimelist.net/images/anime/13/59027l.webp'}",2014-01-29,2014-09-24,"Animated bloopers, based on the extra section of the original manga series, included with the BD/DVD series for Kuroko no Basket Second Season (both limited and normal editions).",7.7,1282,2797,67127,30468,white,2014-02-12T02:01:54+00:00,2022-04-11T16:24:44+00:00,special,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",9,"{'year': 2014, 'season': 'winter'}",manga,150,pg_13,,"[{'id': 10, 'name': 'Production I.G'}]","{'status': {'watching': '2081', 'completed': '52583', 'on_hold': '913', 'dropped': '667', 'plan_to_watch': '10880'}, 'num_list_users': 67124}",81
31289,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"{'medium': 'https://cdn.myanimelist.net/images/anime/1373/106587.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1373/106587l.jpg'}",2015-08-22,2015-08-22,"The special will revisit the childhood past of the three sworn brothers Luffy, Ace, and Sabo, when they all dreamed of becoming pirates. In addition, it will depict how Sabo originally came into the kingdom of Dressrosa (which was not depicted in Eiichiro Oda's original manga or the television anime), as well as his reunion with Luffy from his point of view.",7.7,1286,3595,42327,21985,white,2015-07-19T08:13:48+00:00,2023-12-29T02:13:35+00:00,tv_special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2015, 'season': 'summer'}",manga,6415,pg_13,,"[{'id': 18, 'name': 'Toei Animation'}]","{'status': {'watching': '870', 'completed': '34123', 'on_hold': '438', 'dropped': '334', 'plan_to_watch': '6554'}, 'num_list_users': 42319}",82
31772,One Punch Man Specials,"{'medium': 'https://cdn.myanimelist.net/images/anime/1452/97840.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1452/97840l.jpg'}",2015-12-24,2016-05-27,Specials included in the Blu-ray and DVD releases of One Punch Man.,7.7,1287,766,331240,185005,white,2015-10-05T07:03:31+00:00,2022-10-23T09:21:10+00:00,special,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 4, 'name': 'Comedy'}, {'id': 20, 'name': 'Parody'}, {'id': 42, 'name': 'Seinen'}, {'id': 31, 'name': 'Super Power'}]",6,"{'year': 2015, 'season': 'fall'}",web_manga,750,r,The One Punch Man Specials are anime-exclusive stories written by original creator ONE. They take place between the episodes of the TV anime.,"[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '14537', 'completed': '273778', 'on_hold': '5696', 'dropped': '2862', 'plan_to_watch': '34352'}, 'num_list_users': 331225}",83
